Driver_ID,length,Age,Gender,City,Education_Level,Income_total,Income_avg,Income_max,Income_min,Dateofjoining_year,Dateofjoining_month,Joining_Designation,Grade_max,Grade_min,Grade_first,Grade_last,Total_Business_Value_sum,Total_Business_Value_avg,Total_Business_Value_min,Total_Business_Value_max,Quarterly_Rating_max,Quarterly_Rating_min,Quarterly_Rating_first,Quarterly_Rating_last,Driver_Churn
67,21,41.0,0.0,28,2,1385622,65982.0,65982,65982,2019,1,1,2,2,2,2,11713070,557765.2380952381,0,2620440,3,1,1,3,0
68,21,32.0,0.0,29,0,1665048,79288.0,79288,79288,2015,10,1,3,3,3,3,23150140,1102387.619047619,321370,3943140,4,3,3,3,0
69,11,32.0,1.0,7,1,710644,64604.0,64604,64604,2019,11,2,2,2,2,2,4640080,421825.45454545453,0,2083060,3,1,1,2,1
70,1,35.0,0.0,20,1,19235,19235.0,19235,19235,2018,10,1,1,1,1,1,0,0.0,0,0,1,1,1,1,1
71,2,43.0,0.0,20,2,108206,54103.0,54103,54103,2018,5,3,3,3,3,3,188780,94390.0,0,188780,1,1,1,1,1
74,6,35.0,1.0,5,2,355296,59216.0,59216,59216,2020,5,2,2,2,2,2,592270,98711.66666666667,0,289800,1,1,1,1,1
75,5,25.0,1.0,18,2,199420,39884.0,39884,39884,2020,7,2,2,2,2,2,2171040,434208.0,0,1168360,2,2,2,2,1
77,21,34.0,0.0,3,2,1342278,63918.0,63918,63918,2018,5,1,2,2,2,2,15396000,733142.8571428572,0,3159380,4,2,3,3,0
78,18,37.0,0.0,21,0,1907028,105946.0,105946,105946,2018,9,2,4,4,4,4,35995650,1999758.3333333333,-1629620,9000000,4,2,4,2,0
79,1,32.0,0.0,14,1,114648,114648.0,114648,114648,2019,7,4,4,4,4,4,0,0.0,0,0,1,1,1,1,1
80,3,29.0,1.0,7,0,170061,56687.0,56687,56687,2020,10,2,2,2,2,2,153300,51100.0,0,153300,1,1,1,1,0
81,7,39.0,0.0,9,2,540239,77177.0,77177,77177,2018,6,1,2,2,2,2,2002820,286117.14285714284,0,750520,2,1,2,2,1
82,4,37.0,1.0,24,1,356052,89013.0,89013,89013,2020,4,3,3,3,3,3,0,0.0,0,0,1,1,1,1,0
83,9,34.0,0.0,23,2,1036431,115159.0,115159,115159,2019,8,3,3,3,3,3,750000,83333.33333333333,0,750000,1,1,1,1,1
84,10,42.0,0.0,16,0,259500,25950.0,25950,25950,2019,7,1,1,1,1,1,7585380,758538.0,-300000,3000000,4,1,4,2,1
85,3,25.0,0.0,22,2,148527,49509.0,49509,49509,2020,9,1,1,1,1,1,0,0.0,0,0,1,1,1,1,0
86,1,35.0,0.0,2,2,49510,49510.0,49510,49510,2018,5,1,1,1,1,1,0,0.0,0,0,1,1,1,1,1
87,10,37.0,0.0,6,1,1193410,119341.0,119341,119341,2019,8,3,3,3,3,3,22941370,2294137.0,0,11894240,4,1,1,1,0
88,4,45.0,1.0,3,0,249192,62298.0,62298,62298,2018,1,2,2,2,2,2,2424170,606042.5,0,1572150,3,1,1,3,1
89,12,28.0,0.0,2,1,707724,58977.0,58977,58977,2019,5,2,2,2,2,2,4405510,367125.8333333333,0,2883920,3,1,3,3,1
90,4,33.0,0.0,22,0,117632,29408.0,29408,29408,2019,11,2,2,2,2,2,543640,135910.0,0,407480,1,1,1,1,1
91,4,31.0,0.0,21,0,90924,22731.0,22731,22731,2019,8,2,2,2,2,2,200000,50000.0,0,200000,1,1,1,1,1
93,2,30.0,0.0,17,2,79054,39527.0,39527,39527,2018,7,2,2,2,2,2,1220120,610060.0,0,1220120,2,2,2,2,1
95,1,28.0,1.0,14,2,60874,60874.0,60874,60874,2020,1,3,3,3,3,3,0,0.0,0,0,1,1,1,1,0
96,4,35.0,0.0,12,2,259812,64953.0,64953,64953,2020,7,3,3,3,3,3,0,0.0,0,0,1,1,1,1,1
97,3,40.0,1.0,2,2,242313,80771.0,80771,80771,2020,10,3,3,3,3,3,350000,116666.66666666667,0,350000,1,1,1,1,0
98,10,25.0,0.0,16,0,591364,59136.4,63774,57977,2019,8,2,3,2,3,2,10866580,1086658.0,0,2999000,4,1,2,1,0
99,5,30.0,0.0,23,0,190340,38068.0,38068,38068,2020,3,2,2,2,2,2,0,0.0,0,0,1,1,1,1,1
101,4,33.0,0.0,10,0,155780,38945.0,38945,38945,2017,12,1,1,1,1,1,1759840,439960.0,101850,757990,2,1,1,2,0
102,3,22.0,1.0,12,0,126810,42270.0,42270,42270,2019,1,1,1,1,1,1,0,0.0,0,0,1,1,1,1,1
103,7,26.0,1.0,28,1,482391,68913.0,68913,68913,2019,11,2,2,2,2,2,544380,77768.57142857143,-150310,350310,1,1,1,1,1
104,4,30.0,1.0,23,1,241328,60332.0,60332,60332,2020,8,2,2,2,2,2,606200,151550.0,0,606200,2,1,1,2,0
105,1,38.0,0.0,4,0,67931,67931.0,67931,67931,2018,9,1,1,1,1,1,0,0.0,0,0,1,1,1,1,1
106,6,34.0,1.0,22,0,346026,57671.0,57671,57671,2016,5,1,3,3,3,3,3538020,589670.0,0,1579610,2,2,2,2,1
107,10,35.0,0.0,9,2,1021420,102142.0,102142,102142,2019,12,3,3,3,3,3,3757530,375753.0,0,1292370,2,1,1,2,1
108,4,38.0,0.0,22,2,485036,121259.0,121259,121259,2020,1,3,3,3,3,3,0,0.0,0,0,1,1,1,1,1
109,5,36.0,1.0,6,0,169635,33927.0,33927,33927,2020,4,1,1,1,1,1,1006300,201260.0,0,409100,2,1,2,1,0
110,3,32.0,1.0,16,1,97989,32663.0,32663,32663,2019,9,1,1,1,1,1,150310,50103.333333333336,0,150310,1,1,1,1,0
111,8,52.0,0.0,13,1,590152,73769.0,73769,73769,2016,12,2,3,3,3,3,1892390,236548.75,0,794250,1,1,1,1,1
112,22,46.0,0.0,29,1,1110252,50466.0,50466,50466,2018,6,1,1,1,1,1,11238160,510825.45454545453,0,1304140,4,2,3,4,0
113,5,42.0,1.0,10,0,235800,47160.0,47160,47160,2019,6,1,1,1,1,1,670440,134088.0,-296040,966480,2,1,2,2,1
114,3,32.0,1.0,19,0,268368,89456.0,89456,89456,2020,9,3,3,3,3,3,0,0.0,0,0,1,1,1,1,0
115,21,46.0,0.0,1,1,666792,31752.0,31752,31752,2015,7,1,3,3,3,3,10977370,522731.90476190473,0,2562070,3,2,2,2,0
116,8,22.0,0.0,11,0,131816,16477.0,16477,16477,2018,12,1,1,1,1,1,971420,121427.5,0,258160,2,1,1,1,1
117,17,47.0,1.0,1,1,2464626,144978.0,144978,144978,2016,1,1,5,5,5,5,27159370,1597610.0,266410,6977370,4,2,2,2,0
118,6,42.0,1.0,27,0,407424,67904.0,67904,67904,2020,3,3,3,3,3,3,150700,25116.666666666668,0,150700,1,1,1,1,0
119,2,32.0,1.0,29,1,142000,71000.0,71000,71000,2019,11,3,3,3,3,3,0,0.0,0,0,1,1,1,1,1
120,7,27.0,0.0,14,2,799806,114258.0,114258,114258,2019,9,3,3,3,3,3,0,0.0,0,0,1,1,1,1,1
121,2,33.0,1.0,13,2,117770,58885.0,58885,58885,2020,3,3,3,3,3,3,0,0.0,0,0,1,1,1,1,1
122,4,27.0,0.0,26,0,229624,57406.0,57406,57406,2020,8,2,2,2,2,2,605760,151440.0,0,398240,2,1,2,1,0
123,7,44.0,0.0,24,1,289807,41401.0,41401,41401,2018,10,1,1,1,1,1,1733370,247624.2857142857,0,1243680,2,1,2,1,1
125,5,33.0,1.0,10,2,154235,30847.0,30847,30847,2018,7,1,1,1,1,1,545790,109158.0,0,345790,2,1,2,1,1
127,1,33.0,0.0,28,1,84085,84085.0,84085,84085,2018,5,3,3,3,3,3,0,0.0,0,0,1,1,1,1,1
129,6,38.0,1.0,6,1,364248,60708.0,60708,60708,2020,7,2,2,2,2,2,436190,72698.33333333333,0,228500,1,1,1,1,0
130,5,38.0,0.0,28,1,199950,39990.0,39990,39990,2020,1,2,2,2,2,2,2696870,539374.0,0,1896870,2,1,1,1,1
131,5,38.0,1.0,19,1,395430,79086.0,79086,79086,2013,10,2,3,3,3,3,788460,157692.0,-250000,601950,2,1,1,1,0
132,2,27.0,0.0,20,2,86330,43165.0,43165,43165,2020,5,2,2,2,2,2,0,0.0,0,0,1,1,1,1,1
133,5,44.0,1.0,23,2,234290,46858.0,46858,46858,2018,7,1,1,1,1,1,873110,174622.0,0,329610,2,1,2,2,1
134,3,32.0,0.0,27,0,230712,76904.0,76904,76904,2020,10,3,3,3,3,3,190550,63516.666666666664,0,190550,1,1,1,1,0
135,3,28.0,0.0,22,0,296631,98877.0,98877,98877,2020,9,3,3,3,3,3,566960,188986.66666666666,0,337640,2,1,2,1,0
136,1,37.0,1.0,10,0,47009,47009.0,47009,47009,2018,10,1,1,1,1,1,0,0.0,0,0,1,1,1,1,1
137,7,42.0,0.0,28,0,234213,33459.0,33459,33459,2020,6,2,2,2,2,2,6570070,938581.4285714285,0,2128020,4,1,1,3,0
138,1,48.0,0.0,21,2,34827,34827.0,34827,34827,2018,1,1,1,1,1,1,0,0.0,0,0,1,1,1,1,1
139,1,31.0,0.0,14,1,51850,51850.0,51850,51850,2019,10,2,2,2,2,2,0,0.0,0,0,1,1,1,1,0
140,17,38.0,0.0,9,1,1228301,72253.0,72253,72253,2016,4,1,2,2,2,2,9535590,560917.0588235294,100220,1086230,3,2,3,3,0
141,5,35.0,0.0,22,1,329505,65901.0,65901,65901,2020,7,2,2,2,2,2,0,0.0,0,0,1,1,1,1,1
142,2,24.0,0.0,16,1,59614,29807.0,29807,29807,2018,6,1,1,1,1,1,122040,61020.0,0,122040,1,1,1,1,1
143,3,40.0,0.0,12,2,72450,24150.0,24150,24150,2018,5,1,1,1,1,1,340560,113520.0,97020,140630,1,1,1,1,1
144,2,27.0,0.0,28,2,43866,21933.0,21933,21933,2019,8,1,1,1,1,1,0,0.0,0,0,1,1,1,1,1
145,5,35.0,0.0,13,1,375560,75112.0,75112,75112,2020,2,3,3,3,3,3,1847280,369456.0,0,1847280,3,1,3,3,1
147,3,36.0,0.0,9,1,255516,85172.0,85172,85172,2019,7,2,2,2,2,2,0,0.0,0,0,1,1,1,1,1
148,1,41.0,0.0,15,0,45288,45288.0,45288,45288,2020,12,2,2,2,2,2,0,0.0,0,0,1,1,1,1,0
149,3,34.0,1.0,20,0,185739,61913.0,61913,61913,2020,4,3,3,3,3,3,0,0.0,0,0,1,1,1,1,0
150,21,39.0,0.0,17,0,609273,29013.0,29013,29013,2016,4,1,3,3,3,3,18550520,883358.0952380953,202150,1972440,4,2,3,3,0
151,3,30.0,0.0,15,0,268806,89602.0,89602,89602,2019,9,4,4,4,4,4,450170,150056.66666666666,0,300000,1,1,1,1,1
152,6,31.0,0.0,17,0,189282,31547.0,31547,31547,2018,6,1,2,2,2,2,1419720,236620.0,0,430530,2,1,1,2,1
153,8,38.0,1.0,22,1,1188704,148588.0,148588,148588,2018,10,5,5,5,5,5,1272800,159100.0,0,1156400,2,1,1,1,1
154,3,30.0,0.0,21,1,141633,47211.0,47211,47211,2020,7,1,1,1,1,1,0,0.0,0,0,1,1,1,1,1
155,2,27.0,0.0,26,1,236726,118363.0,118363,118363,2017,9,2,3,3,3,3,1602380,801190.0,434000,1168380,2,2,2,2,1
156,2,41.0,1.0,9,1,82092,41046.0,41046,41046,2018,7,1,1,1,1,1,0,0.0,0,0,1,1,1,1,0
158,2,26.0,0.0,22,1,91664,45832.0,45832,45832,2020,7,1,1,1,1,1,0,0.0,0,0,1,1,1,1,1
159,12,44.0,1.0,4,1,361452,30121.0,30121,30121,2017,7,1,1,1,1,1,6127680,510640.0,0,2197090,4,1,2,2,0
161,2,38.0,0.0,25,2,71586,35793.0,35793,35793,2018,6,1,1,1,1,1,0,0.0,0,0,1,1,1,1,1
162,2,36.0,0.0,2,1,200128,100064.0,100064,100064,2019,10,3,3,3,3,3,0,0.0,0,0,1,1,1,1,1
163,4,29.0,0.0,6,0,102924,25731.0,25731,25731,2020,5,1,1,1,1,1,0,0.0,0,0,1,1,1,1,1
164,15,37.0,1.0,26,0,1592565,106171.0,106171,106171,2019,6,1,4,4,4,4,9819740,654649.3333333334,0,2000000,3,1,1,1,1
165,1,25.0,1.0,21,2,76307,76307.0,76307,76307,2018,10,2,2,2,2,2,0,0.0,0,0,1,1,1,1,1
167,4,26.0,0.0,18,1,141132,35283.0,35283,35283,2018,3,1,1,1,1,1,1053880,263470.0,0,1053880,2,1,1,2,1
168,11,26.0,0.0,15,2,363627,33057.0,33057,33057,2019,10,2,2,2,2,2,6819160,619923.6363636364,0,1270190,4,3,3,4,0
169,9,34.0,0.0,14,2,345681,38409.0,38409,38409,2018,5,2,2,2,2,2,4491860,499095.55555555556,-582010,1394770,4,1,2,4,1
170,4,35.0,0.0,7,2,365832,91458.0,91458,91458,2019,7,3,3,3,3,3,0,0.0,0,0,2,1,1,2,1
171,7,44.0,1.0,23,1,393694,56242.0,56242,56242,2018,8,2,2,2,2,2,3466180,495168.5714285714,0,2564590,3,1,3,1,1
172,3,41.0,1.0,6,2,304185,101395.0,101395,101395,2017,11,2,3,3,3,3,2574740,858246.6666666666,0,1464980,4,2,2,4,0
173,15,39.0,0.0,28,0,842610,56174.0,56174,56174,2014,6,1,3,3,3,3,13385710,892380.6666666666,300000,2134290,4,2,2,3,0
174,5,39.0,1.0,21,1,110325,22065.0,22065,22065,2018,7,1,1,1,1,1,2970500,594100.0,0,1567420,3,1,1,1,1
175,4,31.0,0.0,13,0,111556,27889.0,27889,27889,2018,9,1,1,1,1,1,-273920,-68480.0,-273920,0,1,1,1,1,1
176,4,34.0,0.0,15,0,85104,21276.0,21276,21276,2020,5,1,1,1,1,1,0,0.0,0,0,1,1,1,1,1
177,6,31.0,0.0,4,1,258318,43053.0,43053,43053,2018,12,1,1,1,1,1,600000,100000.0,0,600000,1,1,1,1,1
178,8,23.0,1.0,7,0,293096,36637.0,36637,36637,2018,9,2,2,2,2,2,441960,55245.0,-109200,199000,1,1,1,1,1
179,5,26.0,1.0,11,2,122450,24490.0,24490,24490,2018,5,1,1,1,1,1,1616780,323356.0,0,823030,2,1,2,2,1
180,9,34.0,0.0,29,1,861246,95694.0,95694,95694,2018,6,2,4,4,4,4,0,0.0,0,0,1,1,1,1,1
181,2,30.0,1.0,17,2,53852,26926.0,26926,26926,2020,11,3,3,3,3,3,0,0.0,0,0,1,1,1,1,0
182,4,32.0,0.0,22,2,103328,25832.0,25832,25832,2020,1,1,1,1,1,1,866320,216580.0,0,679020,2,1,1,2,1
183,6,26.0,1.0,23,2,259578,43263.0,43263,43263,2019,11,1,1,1,1,1,903800,150633.33333333334,0,610420,1,1,1,1,1
184,4,34.0,1.0,21,2,248796,62199.0,62199,62199,2020,4,2,2,2,2,2,903160,225790.0,0,903160,2,1,2,2,1
185,7,29.0,0.0,1,0,574840,82120.0,82120,82120,2016,11,1,3,3,3,3,1795530,256504.2857142857,0,500000,2,1,1,2,1
187,4,34.0,0.0,26,1,83688,20922.0,20922,20922,2019,11,2,2,2,2,2,0,0.0,0,0,1,1,1,1,1
188,12,34.0,0.0,12,0,437796,36483.0,36483,36483,2019,11,2,2,2,2,2,2363160,196930.0,0,450000,2,1,2,1,0
190,8,36.0,1.0,1,0,864408,108051.0,108051,108051,2018,11,4,4,4,4,4,121980,15247.5,0,121980,1,1,1,1,0
191,10,27.0,1.0,11,2,633800,63380.0,63380,63380,2019,12,3,3,3,3,3,9081220,908122.0,0,4165680,4,1,3,2,0
192,7,37.0,1.0,9,1,468664,66952.0,66952,66952,2020,4,3,3,3,3,3,2412240,344605.71428571426,0,742520,2,1,2,1,0
193,13,47.0,0.0,26,2,768092,59084.0,59084,59084,2018,5,1,2,2,2,2,7343200,564861.5384615385,150380,1602730,4,1,3,3,1
194,3,30.0,0.0,8,0,162222,54074.0,54074,54074,2020,6,2,2,2,2,2,2000000,666666.6666666666,0,2000000,3,3,3,3,0
195,1,27.0,0.0,18,0,19419,19419.0,19419,19419,2020,9,1,1,1,1,1,0,0.0,0,0,1,1,1,1,0
196,5,44.0,0.0,14,1,375005,75001.0,75001,75001,2020,5,3,3,3,3,3,150720,30144.0,0,150720,2,1,1,2,1
197,8,41.0,0.0,25,1,756752,94594.0,94594,94594,2013,10,2,3,3,3,3,1985150,248143.75,0,1035800,1,1,1,1,1
199,19,30.0,0.0,14,0,1670138,87902.0,87902,87902,2016,12,1,3,3,3,3,19809150,1042586.8421052631,0,3095380,4,2,3,4,0
200,5,46.0,0.0,8,1,333535,66707.0,66707,66707,2019,11,3,3,3,3,3,0,0.0,0,0,1,1,1,1,1
201,3,38.0,1.0,5,0,126780,42260.0,42260,42260,2019,5,3,3,3,3,3,0,0.0,0,0,1,1,1,1,0
203,12,34.0,1.0,4,2,1016556,84713.0,84713,84713,2019,7,3,3,3,3,3,2150000,179166.66666666666,0,1400000,3,1,1,1,1
204,3,31.0,1.0,14,0,204453,68151.0,68151,68151,2017,12,1,2,2,2,2,108590,36196.666666666664,0,108590,1,1,1,1,1
205,1,39.0,0.0,12,0,15826,15826.0,15826,15826,2020,12,1,1,1,1,1,0,0.0,0,0,1,1,1,1,0
206,3,26.0,1.0,10,0,38904,12968.0,12968,12968,2020,9,1,1,1,1,1,0,0.0,0,0,1,1,1,1,0
207,3,32.0,0.0,29,0,185682,61894.0,61894,61894,2018,5,3,3,3,3,3,1144890,381630.0,0,644890,2,1,1,2,1
208,4,31.0,0.0,16,2,126628,31657.0,31657,31657,2019,1,1,1,1,1,1,376780,94195.0,0,135870,1,1,1,1,1
210,7,38.0,0.0,29,2,452081,64583.0,64583,64583,2020,5,3,3,3,3,3,439600,62800.0,0,250240,1,1,1,1,0
211,2,34.0,1.0,6,2,163460,81730.0,81730,81730,2020,6,3,3,3,3,3,0,0.0,0,0,1,1,1,1,1
213,18,37.0,0.0,24,0,1079046,59947.0,59947,59947,2018,9,2,2,2,2,2,7611540,422863.3333333333,0,2117120,3,1,2,1,0
215,10,26.0,1.0,15,1,173070,17307.0,17307,17307,2019,7,1,1,1,1,1,1742410,174241.0,0,421960,3,1,1,1,1
216,10,30.0,0.0,20,1,863400,86340.0,86340,86340,2019,7,2,2,2,2,2,3348040,334804.0,0,885000,3,1,2,3,1
217,5,32.0,0.0,10,1,136640,27328.0,27328,27328,2016,5,1,2,2,2,2,5731940,1146388.0,0,5401260,4,1,4,1,1
218,3,25.0,0.0,21,0,83937,27979.0,27979,27979,2020,7,1,1,1,1,1,582860,194286.66666666666,0,442580,2,1,2,2,0
219,10,36.0,0.0,5,0,516570,51657.0,51657,51657,2018,5,2,2,2,2,2,2187680,218768.0,0,1018650,2,1,1,1,1
220,9,38.0,1.0,18,1,967851,107539.0,107539,107539,2013,11,2,3,3,3,3,2645460,293940.0,0,802800,2,1,1,2,1
221,1,31.0,0.0,3,0,13051,13051.0,13051,13051,2018,12,1,1,1,1,1,0,0.0,0,0,1,1,1,1,1
222,2,26.0,0.0,2,0,185506,92753.0,92753,92753,2019,9,3,3,3,3,3,0,0.0,0,0,1,1,1,1,1
223,3,25.0,0.0,20,0,177324,59108.0,59108,59108,2018,8,2,2,2,2,2,659910,219970.0,0,361970,2,1,2,1,1
225,5,32.0,1.0,14,0,223960,44792.0,44792,44792,2020,7,3,3,3,3,3,1236830,247366.0,0,590630,3,1,1,3,0
226,5,36.0,1.0,18,1,277640,55528.0,55528,55528,2019,11,2,2,2,2,2,967760,193552.0,0,523840,1,1,1,1,1
227,7,45.0,1.0,29,2,433384,61912.0,61912,61912,2020,5,3,3,3,3,3,6887950,983992.8571428572,0,2760000,4,1,3,3,1
228,11,45.0,0.0,6,2,587235,53385.0,53385,53385,2016,7,1,1,1,1,1,7208950,655359.0909090909,0,1713080,4,1,4,3,1
229,8,43.0,0.0,28,0,839960,104995.0,104995,104995,2019,8,4,4,4,4,4,11947410,1493426.25,600000,5237050,2,1,2,2,1
230,7,34.0,0.0,25,0,310513,44359.0,44359,44359,2018,10,2,2,2,2,2,3294460,470637.14285714284,0,1194770,3,1,2,3,1
231,1,32.0,0.0,5,1,21354,21354.0,21354,21354,2018,10,1,1,1,1,1,0,0.0,0,0,1,1,1,1,1
232,1,34.0,0.0,15,2,23185,23185.0,23185,23185,2018,7,1,1,1,1,1,0,0.0,0,0,1,1,1,1,1
233,4,36.0,1.0,27,1,556556,139139.0,139139,139139,2020,6,3,3,3,3,3,0,0.0,0,0,1,1,1,1,0
